set_code,as_of,us_market_usd,sg_ask_sgd,source
OP-01,2026-09-04,1468.78,,roster
OP-02,2026-09-04,588.05,,roster
OP-03,2026-09-04,525.34,,roster
OP-04,2026-09-04,500.96,,roster
OP-05,2026-09-04,1081.8,,roster
OP-06,2026-09-04,384.65,,roster
EB-01,2026-09-04,871.48,,roster
OP-07,2026-09-04,341.16,,roster
OP-08,2026-09-04,248.58,,roster
PRB-01,2026-09-04,899.9,,roster
OP-09,2026-09-04,669.52,750,roster
OP-10,2026-09-04,252.07,,roster
EB-02,2026-09-04,825.46,,roster
OP-11,2026-09-04,614.36,,roster
OP-12,2026-09-04,281.7,,roster
PRB-02,2026-09-04,391,,roster
OP-13,2026-09-04,474.75,,roster
OP-14,2026-09-04,263.93,,roster
EB-03,2026-09-04,336.79,,roster
OP-15,2026-09-04,247.17,,roster
OP-16,2026-09-04,207.42,295,roster
OP-17,2026-09-04,337.14,,roster
