card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
EB01-001,,Leader,Red/Green,,4,5000,,Slash,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules. [DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,,2,legal,legal
EB01-001p1,Alternate Art,Leader,Red/Green,,4,5000,,Slash,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules. [DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,Hokuyuu,2,legal,legal
EB01-002,,Character,Red,5,,7000,,Ranged,Land of Wano/Whitebeard Pirates,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters. [On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",,Kaito Shibano,2,legal,legal
EB01-003,,Character,Red,4,,5000,,Slash/Special,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.) [When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,HISASHI HUJIWARA,2,legal,legal
EB01-003p1,Alternate Art,Character,Red,4,,5000,,Slash/Special,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.) [When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,Yosuke Adachi,2,legal,legal
EB01-004,,Character,Red,2,,3000,1000,Ranged,Alabasta,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.,,Nekobayashi,2,legal,legal
EB01-005,,Character,Red,1,,3000,1000,Slash,Whitebeard Pirates Allies,,,Morechand,2,legal,legal
EB01-006,,Character,Red,3,,4000,1000,Strike,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,kito,2,legal,legal
EB01-006p1,Alternate Art,Character,Red,3,,4000,1000,Strike,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,SOWSOW,2,legal,legal
EB01-006p2,Manga Art,Character,Red,3,,4000,1000,Strike,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,,,legal,legal
EB01-007,,Character,Red,5,,5000,2000,Strike,Land of Wano,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,,Koushi Rokushiro,2,legal,legal
EB01-008,,Character,Red,6,,7000,1000,Strike,Giant/Whitebeard Pirates Allies,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.",,Yasushi Yamaguchi,2,legal,legal
EB01-009,,Event,Red,1,,,,,Drum Kingdom/Straw Hat Crew,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,,2,legal,legal
EB01-010,,Event,Red,3,,,,,Water Seven/Straw Hat Crew,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 base power or less.,,,2,legal,legal
EB01-011,,Stage,Red,1,,,,,Straw Hat Crew,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.,,,2,legal,legal
EB01-012,,Character,Green,5,,6000,1000,Slash,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,phima,2,legal,legal
EB01-012p1,Alternate Art,Character,Green,5,,6000,1000,Slash,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,Studio Vigor Co. Ltd,2,legal,legal
EB01-013,,Character,Green,4,,0,1000,Wisdom,Land of Wano/Kouzuki Clan,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",,Haru Miyajima,2,legal,legal
EB01-013p1,Alternate Art,Character,Green,4,,0,1000,Wisdom,Land of Wano/Kouzuki Clan,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",,Sunohara,2,legal,legal
EB01-014,,Character,Green,4,,5000,2000,Strike,FILM/Straw Hat Crew,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.,,tatsuya,2,legal,legal
EB01-015,,Character,Green,1,,1000,2000,Special,Supernovas/On-Air Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,UGUME,2,legal,legal
EB01-016,,Character,Green,1,,0,1000,Wisdom,Land of Wano,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.,,ASAKI KURODA,2,legal,legal
EB01-017,,Character,Green,2,,2000,1000,Strike,FILM/CP0,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,COGA,2,legal,legal
EB01-018,,Character,Green,5,,7000,1000,Strike,Animal/Land of Wano,,,nukadokomogera,2,legal,legal
EB01-019,,Event,Green,2,,,,,The Seven Warlords of the Sea/Donquixote Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,,2,legal,legal
EB01-020,,Event,Green,1,,,,,Supernovas/Heart Pirates,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character. [Trigger] Activate this card's [Main] effect.",,,2,legal,legal
EB01-021,,Leader,Blue/Purple,,4,5000,,Slash,Impel Down,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,,2,legal,legal
EB01-021p1,Alternate Art,Leader,Blue/Purple,,4,5000,,Slash,Impel Down,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,DAI-XT.,2,legal,legal
EB01-022,,Character,Blue,6,,7000,1000,Slash,Impel Down/Revolutionary Army,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",,BISAI,2,legal,legal
EB01-022p1,Alternate Art,Character,Blue,6,,7000,1000,Slash,Impel Down/Revolutionary Army,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",,Koushi Rokushiro,2,legal,legal
EB01-023,,Character,Blue,4,,6000,,Slash,The Seven Warlords of the Sea,[On Play] Draw 1 card.,,HISASHI HUJIWARA,2,legal,legal
EB01-024,,Character,Blue,3,,4000,1000,Slash,Animal Kingdom Pirates/SMILE,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power.",,Misa Matoki,2,legal,legal
EB01-025,,Character,Blue,3,,5000,1000,Slash,Animal Kingdom Pirates/SMILE,,,Misa Matoki,2,legal,legal
EB01-026,,Character,Blue,2,,2000,2000,Ranged,Impel Down,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.",,Yasushi Yamaguchi,2,legal,legal
EB01-027,,Character,Blue,5,,6000,1000,Slash,Baroque Works,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash. [On Play] Draw 2 cards and trash 1 card from your hand.",,DAI-XT.,2,legal,legal
EB01-027p1,Alternate Art,Character,Blue,5,,6000,1000,Slash,Baroque Works,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash. [On Play] Draw 2 cards and trash 1 card from your hand.",,eiji kaneda,2,legal,legal
EB01-028,,Event,Blue,1,,,,,Impel Down/Straw Hat Crew,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand. [Trigger] Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.",,,2,legal,legal
EB01-029,,Event,Blue,1,,,,,East Blue/Straw Hat Crew,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck. [Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand.",,,2,legal,legal
EB01-030,,Stage,Blue,2,,,,,East Blue,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards. [Trigger] Play this card.,,,2,legal,legal
EB01-031,,Character,Purple,5,,5000,1000,Wisdom,Water Seven/Galley-La Company,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.",,Aidle Co. Ltd.,2,legal,legal
