card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP12-001,,Leader,Red,,5,5000,,Slash,Former Roger Pirates,"Under the rules of this game, you cannot include cards with a cost of 5 or more in your deck. [Activate: Main] [Once Per Turn] You may reveal 2 Events from your hand: Up to 1 of your Characters with 4000 base power or less gains +2000 power during this turn.",,Midori Matsuda,3,legal,legal
OP12-001p1,Alternate Art,Leader,Red,,5,5000,,Slash,Former Roger Pirates,"Under the rules of this game, you cannot include cards with a cost of 5 or more in your deck. [Activate: Main] [Once Per Turn] You may reveal 2 Events from your hand: Up to 1 of your Characters with 4000 base power or less gains +2000 power during this turn.",,Anderson,3,legal,legal
OP12-002,,Character,Red,5,,6000,2000,Special,Whitebeard Pirates,,,Katsuo Tadano,3,legal,legal
OP12-003,,Character,Red,2,,3000,1000,Wisdom,Former Roger Pirates,[On K.O.] You may reveal 2 Events from your hand: Play up to 1 red Character card with 3000 power or less from your hand.,,Tanaka Kenichi,3,legal,legal
OP12-004,,Character,Red,2,,3000,1000,Slash,Land of Wano/Kouzuki Clan/Roger Pirates,[Activate: Main] [Once Per Turn] You may reveal 2 Events from your hand: This Character gains +2000 power during this turn.,,Hatori Kyoka,3,legal,legal
OP12-005,,Character,Red,8,,10000,1000,Slash,FILM/Golden Lion Pirates,,,UGUME,3,legal,legal
OP12-006,,Character,Red,1,,2000,1000,Wisdom,Amazon Lily,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Monkey.D.Luffy] or 1 red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,SHINRA AGENCY Co. Ltd.,3,legal,legal
OP12-007,,Character,Red,2,,2000,1000,Slash,Roger Pirates,"[On Play] Up to 1 of your Characters with a type including ""Roger Pirates"" other than [Shanks] gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",,Sunohara,3,legal,legal
OP12-008,,Character,Red,4,,6000,,Slash,The Four Emperors/Red-Haired Pirates,[Blocker] [On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.,,Studio Vigor Co. Ltd,3,legal,legal
OP12-008p1,Alternate Art,Character,Red,4,,6000,,Slash,The Four Emperors/Red-Haired Pirates,[Blocker] [On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.,,tatsuya,3,legal,legal
OP12-009,,Character,Red,3,,4000,1000,Strike,Fish-Man/The Sun Pirates,"[On Play] You may reveal 2 Events from your hand: This Character gains [Rush] during this turn. Then, this Character gains +1000 power until the end of your opponent's next End Phase.",,Aidle Co. Ltd.,3,legal,legal
OP12-010,,Character,Red,6,,7000,2000,Special,FILM/The Pirates Fest/Former Roger Pirates,,,Anderson,3,legal,legal
OP12-011,,Character,Red,5,,7000,1000,Ranged,The Flying Fish Riders,,,Aidle Co. Ltd.,3,legal,legal
OP12-012,,Character,Red,2,,2000,1000,Slash,Roger Pirates,"[On Play] Up to 1 of your Characters with a type including ""Roger Pirates"" other than [Buggy] gains [Blocker] until the end of your opponent's next End Phase.",,Haru Miyajima,3,legal,legal
OP12-013,,Character,Red,1,,2000,1000,Slash,Fish-Man/Former Arlong Pirates,[Activate: Main] You may rest this Character and reveal 2 Events from your hand: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,S-KINOKO,3,legal,legal
OP12-014,,Character,Red,2,,3000,,Special,The Seven Warlords of the Sea/Kuja Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Monkey.D.Luffy] or red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Activate: Main] You may trash this Character: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.",,Sunohara,3,legal,legal
OP12-014p1,Alternate Art,Character,Red,2,,3000,,Special,The Seven Warlords of the Sea/Kuja Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Monkey.D.Luffy] or red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Activate: Main] You may trash this Character: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.",,Eri Yonemoto,3,legal,legal
OP12-015,,Character,Red,4,,4000,1000,Strike,Supernovas/Straw Hat Crew,"If you have a total of 2 or more given DON!! cards, this Character gains +2000 power. [On Play] You may reveal 2 Events from your hand: Play up to 1 red Character card with 3000 power or less from your hand. Then, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,Studio Vigor Co. Ltd,3,legal,legal
OP12-015p1,Alternate Art,Character,Red,4,,4000,1000,Strike,Supernovas/Straw Hat Crew,"If you have a total of 2 or more given DON!! cards, this Character gains +2000 power. [On Play] You may reveal 2 Events from your hand: Play up to 1 red Character card with 3000 power or less from your hand. Then, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,otton,3,legal,legal
OP12-016,,Event,Red,0,,,,,Former Roger Pirates,[Main] You may give 2 active DON!! cards to 1 of your [Silvers Rayleigh]: Your opponent cannot activate [Blocker] when the card given these DON!! cards attacks during this turn. [Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.,,,3,legal,legal
