card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST22-001,,Leader,Blue,,5,5000,,Special,The Four Emperors/Whitebeard Pirates,"[Activate: Main] [Once Per Turn] You may reveal 1 card with a type including ""Whitebeard Pirates"" from your hand: Draw 1 card and place the revealed card at the top of your deck.",,Daisuke Izuka,3,legal,legal
ST22-001p1,Parallel,Leader,Blue,,5,5000,,Special,The Four Emperors/Whitebeard Pirates,"[Activate: Main] [Once Per Turn] You may reveal 1 card with a type including ""Whitebeard Pirates"" from your hand: Draw 1 card and place the revealed card at the top of your deck.",,Daisuke Izuka,3,legal,legal
ST22-002,,Character,Blue,1,,0,1000,Ranged,Land of Wano/Whitebeard Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order. [On Your Opponent's Attack] You may trash this Character: Draw 1 card and place 1 card from your hand at the bottom of your deck.",,Hokuyuu,3,legal,legal
ST22-002p1,Parallel,Character,Blue,1,,0,1000,Ranged,Land of Wano/Whitebeard Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order. [On Your Opponent's Attack] You may trash this Character: Draw 1 card and place 1 card from your hand at the bottom of your deck.",,Hokuyuu,3,legal,legal
ST22-003,,Character,Blue,9,,10000,,Special,The Four Emperors/Whitebeard Pirates,"[Double Attack] (This card deals 2 damage.) [On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards.",,Yosuke Adachi,3,legal,legal
ST22-003p1,Parallel,Character,Blue,9,,10000,,Special,The Four Emperors/Whitebeard Pirates,"[Double Attack] (This card deals 2 damage.) [On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards.",,Yosuke Adachi,3,legal,legal
ST22-004,,Character,Blue,3,,5000,1000,Strike,Whitebeard Pirates Allies,,,Nekobayashi,3,legal,legal
ST22-004p1,Parallel,Character,Blue,3,,5000,1000,Strike,Whitebeard Pirates Allies,,,Nekobayashi,3,legal,legal
ST22-005,,Character,Blue,7,,8000,,Slash,Land of Wano/Kouzuki Clan/Whitebeard Pirates,"If this Character would be removed from the field by your opponent's effect, you may trash 2 cards from your hand instead. [Activate: Main] [Once Per Turn] You may rest 3 of your DON!! cards and return 1 of your Characters other than this Character to the owner's hand: Set this Character as active.",,Yosuke Adachi,3,legal,legal
ST22-005p1,Parallel,Character,Blue,7,,8000,,Slash,Land of Wano/Kouzuki Clan/Whitebeard Pirates,"If this Character would be removed from the field by your opponent's effect, you may trash 2 cards from your hand instead. [Activate: Main] [Once Per Turn] You may rest 3 of your DON!! cards and return 1 of your Characters other than this Character to the owner's hand: Set this Character as active.",,Yosuke Adachi,3,legal,legal
ST22-006,,Character,Blue,7,,8000,1000,Strike,Whitebeard Pirates,"[On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards and trash 1 card from your hand.",,DAI-XT.,3,legal,legal
ST22-006p1,Parallel,Character,Blue,7,,8000,1000,Strike,Whitebeard Pirates,"[On Play] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", draw 2 cards and trash 1 card from your hand.",,DAI-XT.,3,legal,legal
ST22-007,,Character,Blue,1,,2000,1000,Slash,Whitebeard Pirates Allies,"[Activate: Main] [Once Per Turn] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,BISAI,3,legal,legal
ST22-007p1,Parallel,Character,Blue,1,,2000,1000,Slash,Whitebeard Pirates Allies,"[Activate: Main] [Once Per Turn] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,BISAI,3,legal,legal
ST22-008,,Character,Blue,2,,4000,1000,Strike,Whitebeard Pirates Allies,,,kankurou,3,legal,legal
ST22-008p1,Parallel,Character,Blue,2,,4000,1000,Strike,Whitebeard Pirates Allies,,,kankurou,3,legal,legal
ST22-009,,Character,Blue,1,,1000,,Slash,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,Koushi Rokushiro,3,legal,legal
ST22-009p1,Parallel,Character,Blue,1,,1000,,Slash,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,Koushi Rokushiro,3,legal,legal
ST22-010,,Character,Blue,5,,6000,2000,Special,Whitebeard Pirates,,,Hokuyuu,3,legal,legal
ST22-010p1,Parallel,Character,Blue,5,,6000,2000,Special,Whitebeard Pirates,,,Hokuyuu,3,legal,legal
ST22-011,,Character,Blue,1,,1000,2000,Slash,Whitebeard Pirates,"[Your Turn] [On Play] You may reveal 2 cards with a type including ""Whitebeard Pirates"" from your hand: Up to 1 of your Leader with a type including ""Whitebeard Pirates"" gains +2000 power during this turn.",,Koushi Rokushiro,3,legal,legal
