set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of,variant
EB-03,One Piece Heroines Edition,EB03-001,Nefeltari Vivi,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-001_EN.webp,0.14,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-001p1,Nefeltari Vivi,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-001_p1_EN.webp,7.94,2026-09-05,Alternate Art
EB-03,One Piece Heroines Edition,EB03-002,Ain,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-002_EN.webp,0.10,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-003,Uta,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-003_EN.webp,0.51,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-003p1,Uta,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-003_p1_EN.webp,8.91,2026-09-05,Alternate Art
EB-03,One Piece Heroines Edition,EB03-003p2,Uta,SP,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-003_p2_EN.webp,347.49,2026-09-05,Special Card
EB-03,One Piece Heroines Edition,EB03-004,Carina,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-004_EN.webp,0.06,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-005,Sugar,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-005_EN.webp,0.13,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-006,Nami,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-006_EN.webp,0.46,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-007,Baccarat,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-007_EN.webp,0.10,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-008,Hibari,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-008_EN.webp,0.22,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-008p1,Hibari,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-008_p1_EN.webp,7.28,2026-09-05,Alternate Art
EB-03,One Piece Heroines Edition,EB03-009,Makino,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-009_EN.webp,0.06,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-010,Monet,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-010_EN.webp,0.18,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-011_EN.webp,0.09,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-012,Otama,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-012_EN.webp,0.11,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-013,Carrot,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-013_EN.webp,0.17,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-013p1,Carrot,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-013_p1_EN.webp,5.45,2026-09-05,Alternate Art
EB-03,One Piece Heroines Edition,EB03-014,Kuina,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-014_EN.webp,0.07,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-015,Camie,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-015_EN.webp,0.09,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-016,Kouzuki Hiyori,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-016_EN.webp,0.09,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-017,Jewelry Bonney,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-017_EN.webp,0.29,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-018,Tashigi,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-018_EN.webp,0.58,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-018p1,Tashigi,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-018_p1_EN.webp,6.85,2026-09-05,Alternate Art
EB-03,One Piece Heroines Edition,EB03-018p2,Tashigi,SP,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-018_p2_EN.webp,161.55,2026-09-05,Special Card
EB-03,One Piece Heroines Edition,EB03-019,Wanda,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-019_EN.webp,0.08,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-020,"There You Are, Sore Loser!",C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-020_EN.webp,0.07,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-021,Alvida,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-021_EN.webp,0.09,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-022,Isuka,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-022_EN.webp,0.17,2026-09-05,
EB-03,One Piece Heroines Edition,EB03-023,Kaya,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB03/EB03-023_EN.webp,0.11,2026-09-05,
