set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of
EB-04,Egghead Crisis,EB04-001,Jewelry Bonney,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-001_EN.webp,0.21,2026-09-05
EB-04,Egghead Crisis,EB04-001p1,Jewelry Bonney,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-001_p1_EN.webp,37.22,2026-09-05
EB-04,Egghead Crisis,EB04-002,Jewelry Bonney,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-002_EN.webp,0.42,2026-09-05
EB-04,Egghead Crisis,EB04-002p1,Jewelry Bonney,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-002_p1_EN.webp,22.08,2026-09-05
EB-04,Egghead Crisis,EB04-003,Smoker & Tashigi,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-003_EN.webp,0.19,2026-09-05
EB-04,Egghead Crisis,EB04-003p1,Smoker & Tashigi,SP,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-003_p1_EN.webp,102.59,2026-09-05
EB-04,Egghead Crisis,EB04-004,Zeff,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-004_EN.webp,0.13,2026-09-05
EB-04,Egghead Crisis,EB04-005,Trafalgar Law,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-005_EN.webp,0.09,2026-09-05
EB-04,Egghead Crisis,EB04-006,Moda,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-006_EN.webp,0.04,2026-09-05
EB-04,Egghead Crisis,EB04-007,Roronoa Zoro,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-007_EN.webp,14.20,2026-09-05
EB-04,Egghead Crisis,EB04-007p1,Roronoa Zoro,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-007_p1_EN.webp,85.17,2026-09-05
EB-04,Egghead Crisis,EB04-007p2,Roronoa Zoro,SP,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-007_p2_EN.webp,477.72,2026-09-05
EB-04,Egghead Crisis,EB04-008,Distorted Future,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-008_EN.webp,0.22,2026-09-05
EB-04,Egghead Crisis,EB04-009,It's My Student's Farewell. I Want It to Be Proper.,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-009_EN.webp,0.09,2026-09-05
EB-04,Egghead Crisis,EB04-010,Lulucia Kingdom,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-010_EN.webp,0.04,2026-09-05
EB-04,Egghead Crisis,EB04-011,Scaled Neptunian,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-011_EN.webp,0.07,2026-09-05
EB-04,Egghead Crisis,EB04-012,Kikunojo,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-012_EN.webp,0.31,2026-09-05
EB-04,Egghead Crisis,EB04-012p1,Kikunojo,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-012_p1_EN.webp,4.40,2026-09-05
EB-04,Egghead Crisis,EB04-013,Carrot,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-013_EN.webp,0.50,2026-09-05
EB-04,Egghead Crisis,EB04-013p1,Carrot,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-013_p1_EN.webp,7.82,2026-09-05
EB-04,Egghead Crisis,EB04-014,Kozuki Sukiyaki,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-014_EN.webp,0.09,2026-09-05
EB-04,Egghead Crisis,EB04-015,Jinbe,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-015_EN.webp,0.13,2026-09-05
EB-04,Egghead Crisis,EB04-016,Bird Neptunian,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-016_EN.webp,0.05,2026-09-05
EB-04,Egghead Crisis,EB04-017,Mystoms,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-017_EN.webp,0.11,2026-09-05
EB-04,Egghead Crisis,EB04-018,Megalo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-018_EN.webp,1.11,2026-09-05
EB-04,Egghead Crisis,EB04-018p1,Megalo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-018_p1_EN.webp,24.28,2026-09-05
EB-04,Egghead Crisis,EB04-019,Eleclaw,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB04/EB04-019_EN.webp,0.17,2026-09-05
