set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of
OP-09,Emperors in the New World,OP09-001,Shanks,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-001_EN.webp,0.24,2026-09-04
OP-09,Emperors in the New World,OP09-001p1,Shanks,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-001_p1_EN.webp,39.39,2026-09-04
OP-09,Emperors in the New World,OP09-002,Uta,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-002_EN.webp,0.30,2026-09-04
OP-09,Emperors in the New World,OP09-002p1,Uta,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-002_p1_EN.webp,6.52,2026-09-04
OP-09,Emperors in the New World,OP09-003,Shachi & Penguin,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-003_EN.webp,0.07,2026-09-04
OP-09,Emperors in the New World,OP09-004,Shanks,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-004_EN.webp,1.12,2026-09-04
OP-09,Emperors in the New World,OP09-004p1,Shanks,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-004_p1_EN.webp,21.62,2026-09-04
OP-09,Emperors in the New World,OP09-004p2,Shanks,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-004_p2_EN.webp,1795.00,2026-09-04
OP-09,Emperors in the New World,OP09-004p3,Shanks,SP,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-004_p3_EN.webp,258.59,2026-09-04
OP-09,Emperors in the New World,OP09-005,Silvers Rayleigh,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-005_EN.webp,0.13,2026-09-04
OP-09,Emperors in the New World,OP09-006,Howling Gab,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-006_EN.webp,0.07,2026-09-04
OP-09,Emperors in the New World,OP09-007,Heat,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-007_EN.webp,0.05,2026-09-04
OP-09,Emperors in the New World,OP09-008,Building Snake,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-008_EN.webp,0.13,2026-09-04
OP-09,Emperors in the New World,OP09-009,Benn.Beckman,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-009_EN.webp,1.06,2026-09-04
OP-09,Emperors in the New World,OP09-009p1,Benn.Beckman,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-009_p1_EN.webp,6.67,2026-09-04
OP-09,Emperors in the New World,OP09-010,Bonk Punch,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-010_EN.webp,0.07,2026-09-04
OP-09,Emperors in the New World,OP09-011,Hongo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-011_EN.webp,0.10,2026-09-04
OP-09,Emperors in the New World,OP09-012,Monster,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-012_EN.webp,0.06,2026-09-04
OP-09,Emperors in the New World,OP09-013,Yasopp,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-013_EN.webp,0.16,2026-09-04
OP-09,Emperors in the New World,OP09-014,Limejuice,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-014_EN.webp,0.07,2026-09-04
OP-09,Emperors in the New World,OP09-015,Lucky.Roux,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-015_EN.webp,0.16,2026-09-04
OP-09,Emperors in the New World,OP09-016,Rockstar,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-016_EN.webp,0.04,2026-09-04
OP-09,Emperors in the New World,OP09-017,Wire,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-017_EN.webp,0.06,2026-09-04
OP-09,Emperors in the New World,OP09-018,Get Out of Here!,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-018_EN.webp,0.14,2026-09-04
OP-09,Emperors in the New World,OP09-019,Nobody Hurts a Friend of Mine!!!!,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-019_EN.webp,0.10,2026-09-04
OP-09,Emperors in the New World,OP09-020,Come On!! We'll Fight You!!,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-020_EN.webp,0.16,2026-09-04
OP-09,Emperors in the New World,OP09-021,Red Force,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-021_EN.webp,0.08,2026-09-04
OP-09,Emperors in the New World,OP09-022,Lim,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-022_EN.webp,0.15,2026-09-04
OP-09,Emperors in the New World,OP09-022p1,Lim,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-022_p1_EN.webp,8.44,2026-09-04
OP-09,Emperors in the New World,OP09-023,Adio,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-023_EN.webp,0.37,2026-09-04
OP-09,Emperors in the New World,OP09-023p1,Adio,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP09/OP09-023_p1_EN.webp,1.16,2026-09-04
