set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of,variant
OP-15,Adventure on Kami's Island,OP15-001,Krieg,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-001_EN.webp,0.11,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-001p1,Krieg,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-001_p1_EN.webp,11.82,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-002,Lucy,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-002_EN.webp,0.19,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-002p1,Lucy,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-002_p1_EN.webp,26.56,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-003,Alvida,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-003_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-003p1,Alvida,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-003_p1_EN.webp,5.89,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-004,Sea Cat,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-004_EN.webp,0.04,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-005,Cabaji,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-005_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-006,Cavendish,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-006_EN.webp,0.14,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-007,Gin,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-007_EN.webp,0.41,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-007p1,Gin,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-007_p1_EN.webp,2.98,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-008,Krieg,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-008_EN.webp,0.70,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-008p1,Krieg,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-008_p1_EN.webp,5.83,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-009,Koby,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-009_EN.webp,0.14,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-010,Nezumi,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-010_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-011,Pearl,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-011_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-012,Buggy,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-012_EN.webp,0.11,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-013,Pincers,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-013_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-014,Bartolomeo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-014_EN.webp,0.15,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-015,Higuma,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-015_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-016,Fullbody,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-016_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-017,Morgan,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-017_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-018,Mohji,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-018_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-019,Barrier Bulls,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-019_EN.webp,0.16,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-020,Fire Fist,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-020_EN.webp,0.33,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-021,"Just Watch Me, Ace!!!",UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-021_EN.webp,0.15,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-022,Brook,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-022_EN.webp,0.14,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-022p1,Brook,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-022_p1_EN.webp,63.20,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-023,Arlong,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-023_EN.webp,0.22,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-024,Usopp,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-024_EN.webp,0.22,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-025,Kuro,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-025_EN.webp,0.15,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-025p1,Kuro,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-025_p1_EN.webp,4.90,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-026,Jango,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-026_EN.webp,0.11,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-027,Dracule Mihawk,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-027_EN.webp,0.11,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-028,Meowban Brothers,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-028_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-029,Bartholomew Kuma,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-029_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-030,Hyouzou,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-030_EN.webp,0.08,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-031,Purinpurin,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-031_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-032,Brook,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-032_EN.webp,2.91,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-032p1,Brook,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-032_p1_EN.webp,33.74,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-033,Hody Jones,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-033_EN.webp,0.04,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-034,Yorki,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-034_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-035,Laboon,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-035_EN.webp,0.30,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-036,Ryuma,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-036_EN.webp,0.09,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-037,The Outcome Will Tell Us Who's Strong and Who's Weak,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-037_EN.webp,0.10,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-038,It's an Order! Do Not Defy Me!!!,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-038_EN.webp,0.20,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-039,Rebecca,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-039_EN.webp,0.13,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-039p1,Rebecca,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-039_p1_EN.webp,17.04,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-040,Viola,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-040_EN.webp,0.44,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-041,Orlumbus,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-041_EN.webp,0.07,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-042,Kyros,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-042_EN.webp,0.08,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-043,Kelly Funk,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-043_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-044,Koala,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-044_EN.webp,0.07,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-045,Sai,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-045_EN.webp,0.05,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-046,Sabo,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-046_EN.webp,0.63,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-046p1,Sabo,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-046_p1_EN.webp,7.68,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-047,Sanji,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-047_EN.webp,0.45,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-047p1,Sanji,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-047_p1_EN.webp,5.62,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-048,Chinjao,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-048_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-049,Hajrudin,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-049_EN.webp,0.06,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-050,Bobby Funk,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-050_EN.webp,0.03,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-051,Monkey.D.Luffy,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-051_EN.webp,0.13,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-052,Leo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-052_EN.webp,0.17,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-053,Rebecca,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-053_EN.webp,1.14,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-053p1,Rebecca,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-053_p1_EN.webp,20.58,2026-09-05,Alternate Art
OP-15,Adventure on Kami's Island,OP15-054,And No One Else Can Have It! It's Our Memento of Him,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-054_EN.webp,0.12,2026-09-05,
OP-15,Adventure on Kami's Island,OP15-055,"Go Ahead and Use 'Em, Mr. Luffy!!!",R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP15/OP15-055_EN.webp,0.15,2026-09-05,
