set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of,variant
PRB-02,One Piece Card The Best Vol.2,PRB02-001,Koby,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-001_EN.webp,10.55,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-001p1,Koby,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-001_p1_EN.webp,37.00,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-002,Trafalgar Law,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-002_EN.webp,1.64,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-002p1,Trafalgar Law,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-002_p1_EN.webp,21.06,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-003,Lucky.Roux,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-003_EN.webp,4.95,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-003p1,Lucky.Roux,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-003_p1_EN.webp,11.41,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-004,Jewelry Bonney,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-004_EN.webp,0.91,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-004p1,Jewelry Bonney,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-004_p1_EN.webp,10.67,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-005,Monkey.D.Luffy,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-005_EN.webp,1.89,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-005p1,Monkey.D.Luffy,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-005_p1_EN.webp,20.63,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-006,Roronoa Zoro,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-006_EN.webp,5.05,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-006p1,Roronoa Zoro,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-006_p1_EN.webp,33.57,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-007,Jinbe,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-007_EN.webp,0.31,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-007p1,Jinbe,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-007_p1_EN.webp,4.70,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-008,Marco,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-008_EN.webp,4.38,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-008p1,Marco,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-008_p1_EN.webp,80.36,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-009,Mr.3(Galdino),R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-009_EN.webp,0.60,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-009p1,Mr.3(Galdino),R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-009_p1_EN.webp,7.85,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-010,Charlotte Pudding,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-010_EN.webp,12.55,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-010p1,Charlotte Pudding,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-010_p1_EN.webp,55.90,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-011,Donquixote Doflamingo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-011_EN.webp,0.53,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-011p1,Donquixote Doflamingo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-011_p1_EN.webp,6.74,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-012,Nami,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-012_EN.webp,3.05,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-012p1,Nami,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-012_p1_EN.webp,37.46,2026-09-05,Alternate Art
PRB-02,One Piece Card The Best Vol.2,PRB02-013,Gecko Moria,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-013_EN.webp,2.10,2026-09-05,
PRB-02,One Piece Card The Best Vol.2,PRB02-013p1,Gecko Moria,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB02/PRB02-013_p1_EN.webp,12.77,2026-09-05,Alternate Art
