card_number,as_of,market_usd
EB04-001,2026-09-05,0.21
EB04-001p1,2026-09-05,37.22
EB04-002,2026-09-05,0.42
EB04-002p1,2026-09-05,22.08
EB04-003,2026-09-05,0.19
EB04-003p1,2026-09-05,102.59
EB04-004,2026-09-05,0.13
EB04-005,2026-09-05,0.09
EB04-006,2026-09-05,0.04
EB04-007,2026-09-05,14.20
EB04-007p1,2026-09-05,85.17
EB04-007p2,2026-09-05,477.72
EB04-008,2026-09-05,0.22
EB04-009,2026-09-05,0.09
EB04-010,2026-09-05,0.04
EB04-011,2026-09-05,0.07
EB04-012,2026-09-05,0.31
EB04-012p1,2026-09-05,4.40
EB04-013,2026-09-05,0.50
EB04-013p1,2026-09-05,7.82
EB04-014,2026-09-05,0.09
EB04-015,2026-09-05,0.13
EB04-016,2026-09-05,0.05
EB04-017,2026-09-05,0.11
EB04-018,2026-09-05,1.11
EB04-018p1,2026-09-05,24.28
EB04-019,2026-09-05,0.17
EB04-020,2026-09-05,0.09
EB04-021,2026-09-05,0.05
EB04-022,2026-09-05,0.47
EB04-022p1,2026-09-05,7.41
EB04-023,2026-09-05,0.15
EB04-024,2026-09-05,0.08
EB04-025,2026-09-05,0.61
EB04-025p1,2026-09-05,31.67
EB04-026,2026-09-05,0.10
EB04-027,2026-09-05,0.25
EB04-028,2026-09-05,0.22
EB04-029,2026-09-05,0.11
EB04-030,2026-09-05,0.23
EB04-031,2026-09-05,0.67
EB04-031p1,2026-09-05,36.85
EB04-032,2026-09-05,3.03
EB04-033,2026-09-05,0.13
EB04-034,2026-09-05,0.14
EB04-035,2026-09-05,0.05
EB04-036,2026-09-05,0.32
EB04-036p1,2026-09-05,11.52
EB04-037,2026-09-05,0.16
EB04-038,2026-09-05,1.34
EB04-038p1,2026-09-05,28.79
EB04-039,2026-09-05,0.14
EB04-039p1,2026-09-05,88.84
EB04-040,2026-09-05,0.23
EB04-041,2026-09-05,0.11
EB04-042,2026-09-05,0.03
EB04-043,2026-09-05,0.11
EB04-043p1,2026-09-05,3.01
EB04-044,2026-09-05,0.40
EB04-044p1,2026-09-05,20.46
EB04-044p2,2026-09-05,627.66
EB04-045,2026-09-05,0.06
EB04-046,2026-09-05,0.09
EB04-047,2026-09-05,0.14
EB04-048,2026-09-05,0.40
EB04-048p1,2026-09-05,6.23
EB04-049,2026-09-05,0.10
EB04-050,2026-09-05,0.12
EB04-051,2026-09-05,0.05
EB04-052,2026-09-05,0.14
EB04-052p1,2026-09-05,7.24
EB04-053,2026-09-05,0.07
EB04-054,2026-09-05,0.24
EB04-054p1,2026-09-05,73.71
EB04-055,2026-09-05,0.05
EB04-056,2026-09-05,0.07
EB04-057,2026-09-05,0.03
EB04-058,2026-09-05,29.63
EB04-058p1,2026-09-05,70.52
EB04-059,2026-09-05,0.22
EB04-060,2026-09-05,0.08
EB04-061,2026-09-05,7.61
EB04-061p1,2026-09-05,57.43
