card_number,as_of,market_usd
OP15-001,2026-09-05,0.11
OP15-001p1,2026-09-05,11.88
OP15-002,2026-09-05,0.17
OP15-002p1,2026-09-05,26.93
OP15-003,2026-09-05,0.10
OP15-003p1,2026-09-05,5.88
OP15-004,2026-09-05,0.05
OP15-005,2026-09-05,0.06
OP15-006,2026-09-05,0.14
OP15-007,2026-09-05,0.45
OP15-007p1,2026-09-05,3.01
OP15-008,2026-09-05,0.65
OP15-008p1,2026-09-05,5.77
OP15-009,2026-09-05,0.16
OP15-010,2026-09-05,0.06
OP15-011,2026-09-05,0.09
OP15-012,2026-09-05,0.08
OP15-013,2026-09-05,0.05
OP15-014,2026-09-05,0.16
OP15-015,2026-09-05,0.10
OP15-016,2026-09-05,0.06
OP15-017,2026-09-05,0.08
OP15-018,2026-09-05,0.06
OP15-019,2026-09-05,0.16
OP15-020,2026-09-05,0.35
OP15-021,2026-09-05,0.15
OP15-022,2026-09-05,0.14
OP15-022p1,2026-09-05,63.20
OP15-023,2026-09-05,0.25
OP15-024,2026-09-05,0.19
OP15-025,2026-09-05,0.14
OP15-025p1,2026-09-05,4.87
OP15-026,2026-09-05,0.10
OP15-027,2026-09-05,0.11
OP15-028,2026-09-05,0.09
OP15-029,2026-09-05,0.05
OP15-030,2026-09-05,0.08
OP15-031,2026-09-05,0.05
OP15-032,2026-09-05,2.82
OP15-032p1,2026-09-05,33.80
OP15-033,2026-09-05,0.04
OP15-034,2026-09-05,0.06
OP15-035,2026-09-05,0.30
OP15-036,2026-09-05,0.09
OP15-037,2026-09-05,0.11
OP15-038,2026-09-05,0.20
OP15-039,2026-09-05,0.13
OP15-039p1,2026-09-05,16.92
OP15-040,2026-09-05,0.45
OP15-041,2026-09-05,0.07
OP15-042,2026-09-05,0.08
OP15-043,2026-09-05,0.05
OP15-044,2026-09-05,0.07
OP15-045,2026-09-05,0.05
OP15-046,2026-09-05,0.70
OP15-046p1,2026-09-05,7.91
OP15-047,2026-09-05,0.45
OP15-047p1,2026-09-05,5.69
OP15-048,2026-09-05,0.06
OP15-049,2026-09-05,0.06
OP15-050,2026-09-05,0.03
OP15-051,2026-09-05,0.12
OP15-052,2026-09-05,0.16
OP15-053,2026-09-05,1.07
OP15-053p1,2026-09-05,20.66
OP15-054,2026-09-05,0.12
OP15-055,2026-09-05,0.16
OP15-056,2026-09-05,0.13
OP15-057,2026-09-05,0.09
OP15-058,2026-09-05,0.14
OP15-058p1,2026-09-05,26.48
OP15-059,2026-09-05,0.03
OP15-060,2026-09-05,0.34
OP15-060p1,2026-09-05,4.66
OP15-061,2026-09-05,0.17
OP15-061p1,2026-09-05,5.14
OP15-062,2026-09-05,0.05
OP15-063,2026-09-05,0.11
OP15-064,2026-09-05,0.04
OP15-065,2026-09-05,0.03
OP15-066,2026-09-05,0.20
OP15-067,2026-09-05,0.33
OP15-068,2026-09-05,0.07
OP15-069,2026-09-05,0.13
OP15-070,2026-09-05,0.07
OP15-071,2026-09-05,0.11
OP15-072,2026-09-05,0.05
OP15-073,2026-09-05,0.04
OP15-074,2026-09-05,0.17
OP15-075,2026-09-05,0.13
OP15-076,2026-09-05,0.18
OP15-077,2026-09-05,0.30
OP15-077p1,2026-09-05,78.35
OP15-078,2026-09-05,24.72
OP15-078p1,2026-09-05,47.11
OP15-079,2026-09-05,0.10
OP15-080,2026-09-05,0.11
OP15-081,2026-09-05,0.17
OP15-082,2026-09-05,0.05
OP15-083,2026-09-05,0.08
OP15-084,2026-09-05,0.08
OP15-085,2026-09-05,0.56
OP15-086,2026-09-05,2.07
OP15-086p1,2026-09-05,106.08
OP15-087,2026-09-05,0.14
OP15-088,2026-09-05,8.68
OP15-089,2026-09-05,0.10
OP15-090,2026-09-05,0.13
OP15-091,2026-09-05,0.08
OP15-092,2026-09-05,1.66
OP15-092p1,2026-09-05,24.92
OP15-093,2026-09-05,0.04
OP15-094,2026-09-05,0.17
OP15-095,2026-09-05,0.11
OP15-096,2026-09-05,0.16
OP15-097,2026-09-05,0.11
OP15-098,2026-09-05,0.16
OP15-098p1,2026-09-05,82.68
OP15-099,2026-09-05,0.09
OP15-100,2026-09-05,0.04
OP15-101,2026-09-05,0.11
OP15-102,2026-09-05,0.09
OP15-103,2026-09-05,0.09
OP15-104,2026-09-05,0.05
OP15-105,2026-09-05,0.16
OP15-106,2026-09-05,0.07
OP15-107,2026-09-05,0.12
OP15-108,2026-09-05,0.36
OP15-109,2026-09-05,0.24
OP15-109p1,2026-09-05,14.90
OP15-110,2026-09-05,0.06
OP15-111,2026-09-05,0.07
OP15-112,2026-09-05,0.08
OP15-113,2026-09-05,3.91
OP15-113p1,2026-09-05,27.48
OP15-114,2026-09-05,0.78
OP15-114p1,2026-09-05,5.02
OP15-115,2026-09-05,0.05
OP15-116,2026-09-05,0.17
OP15-116p1,2026-09-05,57.00
OP15-117,2026-09-05,0.08
OP15-118,2026-09-05,9.13
OP15-118p1,2026-09-05,26.27
OP15-118p2,2026-09-05,1051.34
OP15-119,2026-09-05,10.63
OP15-119p1,2026-09-05,48.49
