card_number,as_of,market_usd,source
EB01-006p2,2026-09-05,3492.00,limitless
OP01-006,2026-09-05,0.31,limitless
OP01-006p3,2025-09-08,1.10,tcgplayer
OP01-006p3,2025-09-15,1.05,tcgplayer
OP01-006p3,2025-09-22,0.96,tcgplayer
OP01-006p3,2025-09-29,0.95,tcgplayer
OP01-006p3,2025-10-06,0.98,tcgplayer
OP01-006p3,2025-10-13,1.08,tcgplayer
OP01-006p3,2025-10-20,1.11,tcgplayer
OP01-006p3,2025-10-27,1.17,tcgplayer
OP01-006p3,2025-11-03,1.20,tcgplayer
OP01-006p3,2025-11-10,1.26,tcgplayer
OP01-006p3,2025-11-17,1.20,tcgplayer
OP01-006p3,2025-11-24,1.09,tcgplayer
OP01-006p3,2025-12-01,1.06,tcgplayer
OP01-006p3,2025-12-08,1.07,tcgplayer
OP01-006p3,2025-12-15,1.05,tcgplayer
OP01-006p3,2025-12-22,1.10,tcgplayer
OP01-006p3,2025-12-29,1.10,tcgplayer
OP01-006p3,2026-01-05,1.06,tcgplayer
OP01-006p3,2026-01-12,0.94,tcgplayer
OP01-006p3,2026-01-19,0.90,tcgplayer
OP01-006p3,2026-01-26,0.78,tcgplayer
OP01-006p3,2026-02-02,0.77,tcgplayer
OP01-006p3,2026-02-09,0.79,tcgplayer
OP01-006p3,2026-02-16,0.79,tcgplayer
OP01-006p3,2026-02-23,0.83,tcgplayer
OP01-006p3,2026-03-02,0.85,tcgplayer
OP01-006p3,2026-03-09,0.88,tcgplayer
OP01-006p3,2026-03-16,0.90,tcgplayer
OP01-006p3,2026-03-23,0.87,tcgplayer
OP01-006p3,2026-03-30,0.84,tcgplayer
OP01-006p3,2026-04-06,0.79,tcgplayer
OP01-006p3,2026-04-13,0.78,tcgplayer
OP01-006p3,2026-04-20,0.74,tcgplayer
OP01-006p3,2026-04-27,0.74,tcgplayer
OP01-006p3,2026-05-04,0.68,tcgplayer
OP01-006p3,2026-05-11,0.66,tcgplayer
OP01-006p3,2026-05-18,0.65,tcgplayer
OP01-006p3,2026-05-25,0.68,tcgplayer
OP01-006p3,2026-06-01,0.64,tcgplayer
OP01-006p3,2026-06-08,0.63,tcgplayer
OP01-006p3,2026-06-15,0.68,tcgplayer
OP01-006p3,2026-06-22,0.64,tcgplayer
OP01-006p3,2026-06-29,0.69,tcgplayer
OP01-006p3,2026-07-06,0.70,tcgplayer
OP01-006p3,2026-07-13,0.69,tcgplayer
OP01-006p3,2026-07-20,0.67,tcgplayer
OP01-006p3,2026-07-27,0.65,tcgplayer
OP01-006p3,2026-08-03,0.63,tcgplayer
OP01-006p3,2026-08-10,0.55,tcgplayer
OP01-006p3,2026-08-17,0.51,tcgplayer
OP01-006p3,2026-08-24,0.47,tcgplayer
OP01-006p3,2026-08-31,0.48,tcgplayer
OP01-006p3,2026-09-05,0.48,limitless
OP01-006p4,2025-09-08,11.09,tcgplayer
OP01-006p4,2025-09-15,11.11,tcgplayer
OP01-006p4,2025-09-22,11.53,tcgplayer
OP01-006p4,2025-09-29,12.38,tcgplayer
OP01-006p4,2025-10-06,12.44,tcgplayer
OP01-006p4,2025-10-13,13.10,tcgplayer
OP01-006p4,2025-10-20,13.73,tcgplayer
OP01-006p4,2025-10-27,14.04,tcgplayer
OP01-006p4,2025-11-03,14.19,tcgplayer
OP01-006p4,2025-11-10,14.27,tcgplayer
OP01-006p4,2025-11-17,14.27,tcgplayer
OP01-006p4,2025-11-24,13.95,tcgplayer
OP01-006p4,2025-12-01,13.11,tcgplayer
OP01-006p4,2025-12-08,12.39,tcgplayer
OP01-006p4,2025-12-15,11.88,tcgplayer
OP01-006p4,2025-12-22,11.56,tcgplayer
OP01-006p4,2025-12-29,10.61,tcgplayer
OP01-006p4,2026-01-05,10.10,tcgplayer
OP01-006p4,2026-01-12,9.94,tcgplayer
OP01-006p4,2026-01-19,9.29,tcgplayer
OP01-006p4,2026-01-26,8.87,tcgplayer
OP01-006p4,2026-02-02,9.20,tcgplayer
OP01-006p4,2026-02-09,9.45,tcgplayer
OP01-006p4,2026-02-16,9.61,tcgplayer
OP01-006p4,2026-02-23,9.65,tcgplayer
OP01-006p4,2026-03-02,9.79,tcgplayer
OP01-006p4,2026-03-09,9.99,tcgplayer
OP01-006p4,2026-03-16,9.75,tcgplayer
OP01-006p4,2026-03-23,9.75,tcgplayer
OP01-006p4,2026-03-30,9.70,tcgplayer
OP01-006p4,2026-04-06,9.53,tcgplayer
OP01-006p4,2026-04-13,9.53,tcgplayer
OP01-006p4,2026-04-20,9.37,tcgplayer
OP01-006p4,2026-04-27,9.33,tcgplayer
OP01-006p4,2026-05-04,8.91,tcgplayer
OP01-006p4,2026-05-11,7.97,tcgplayer
OP01-006p4,2026-05-18,7.79,tcgplayer
OP01-006p4,2026-05-25,7.82,tcgplayer
OP01-006p4,2026-06-01,7.75,tcgplayer
OP01-006p4,2026-06-08,7.80,tcgplayer
OP01-006p4,2026-06-15,7.73,tcgplayer
OP01-006p4,2026-06-22,7.29,tcgplayer
OP01-006p4,2026-06-29,7.19,tcgplayer
OP01-006p4,2026-07-06,7.20,tcgplayer
OP01-006p4,2026-07-13,7.20,tcgplayer
OP01-006p4,2026-07-20,7.22,tcgplayer
OP01-006p4,2026-07-27,7.23,tcgplayer
OP01-006p4,2026-08-03,7.23,tcgplayer
OP01-006p4,2026-08-10,6.94,tcgplayer
OP01-006p4,2026-08-17,6.97,tcgplayer
OP01-006p4,2026-08-24,6.90,tcgplayer
OP01-006p4,2026-08-31,6.86,tcgplayer
OP01-006p4,2026-09-05,6.86,limitless
OP01-006p5,2025-09-08,19.85,tcgplayer
OP01-006p5,2025-09-15,19.73,tcgplayer
OP01-006p5,2025-09-22,19.70,tcgplayer
OP01-006p5,2025-09-29,19.59,tcgplayer
OP01-006p5,2025-10-06,19.68,tcgplayer
OP01-006p5,2025-10-13,20.27,tcgplayer
OP01-006p5,2025-10-20,20.18,tcgplayer
OP01-006p5,2025-10-27,19.90,tcgplayer
OP01-006p5,2025-11-03,19.62,tcgplayer
OP01-006p5,2025-11-10,19.14,tcgplayer
OP01-006p5,2025-11-17,14.92,tcgplayer
OP01-006p5,2025-11-24,12.49,tcgplayer
OP01-006p5,2025-12-01,13.43,tcgplayer
OP01-006p5,2025-12-08,13.57,tcgplayer
OP01-006p5,2025-12-15,13.63,tcgplayer
OP01-006p5,2025-12-22,13.62,tcgplayer
OP01-006p5,2025-12-29,13.45,tcgplayer
OP01-006p5,2026-01-05,13.46,tcgplayer
OP01-006p5,2026-01-12,13.94,tcgplayer
OP01-006p5,2026-01-19,14.99,tcgplayer
OP01-006p5,2026-01-26,15.21,tcgplayer
OP01-006p5,2026-02-02,15.36,tcgplayer
OP01-006p5,2026-02-09,15.60,tcgplayer
OP01-006p5,2026-02-16,15.55,tcgplayer
OP01-006p5,2026-02-23,15.18,tcgplayer
OP01-006p5,2026-03-02,15.34,tcgplayer
OP01-006p5,2026-03-09,15.39,tcgplayer
OP01-006p5,2026-03-16,15.43,tcgplayer
OP01-006p5,2026-03-23,14.98,tcgplayer
OP01-006p5,2026-03-30,14.82,tcgplayer
OP01-006p5,2026-04-06,11.82,tcgplayer
OP01-006p5,2026-04-13,9.87,tcgplayer
OP01-006p5,2026-04-20,9.96,tcgplayer
OP01-006p5,2026-04-27,9.59,tcgplayer
OP01-006p5,2026-05-04,8.75,tcgplayer
OP01-006p5,2026-05-11,8.66,tcgplayer
OP01-006p5,2026-05-18,8.84,tcgplayer
OP01-006p5,2026-05-25,8.67,tcgplayer
OP01-006p5,2026-06-01,8.58,tcgplayer
OP01-006p5,2026-06-08,8.55,tcgplayer
OP01-006p5,2026-06-15,8.53,tcgplayer
OP01-006p5,2026-06-22,8.56,tcgplayer
OP01-006p5,2026-06-29,8.52,tcgplayer
OP01-006p5,2026-07-06,8.50,tcgplayer
OP01-006p5,2026-07-13,8.54,tcgplayer
OP01-006p5,2026-07-20,8.47,tcgplayer
OP01-006p5,2026-07-27,8.47,tcgplayer
OP01-006p5,2026-08-03,8.39,tcgplayer
OP01-006p5,2026-08-10,8.25,tcgplayer
OP01-006p5,2026-08-17,8.06,tcgplayer
OP01-006p5,2026-08-24,8.06,tcgplayer
OP01-006p5,2026-08-31,7.92,tcgplayer
OP01-006p5,2026-09-05,7.92,limitless
OP01-016p7,2025-09-08,543.11,tcgplayer
OP01-016p7,2025-09-15,559.10,tcgplayer
OP01-016p7,2025-09-22,595.50,tcgplayer
OP01-016p7,2025-09-29,626.90,tcgplayer
OP01-016p7,2025-10-06,626.90,tcgplayer
OP01-016p7,2025-10-13,662.44,tcgplayer
OP01-016p7,2025-10-20,680.85,tcgplayer
OP01-016p7,2025-10-27,756.42,tcgplayer
OP01-016p7,2025-11-03,756.42,tcgplayer
OP01-016p7,2025-11-10,756.42,tcgplayer
OP01-016p7,2025-11-17,756.42,tcgplayer
OP01-016p7,2025-11-24,756.42,tcgplayer
OP01-016p7,2025-12-01,921.98,tcgplayer
OP01-016p7,2025-12-08,1029.22,tcgplayer
OP01-016p7,2025-12-15,1033.22,tcgplayer
OP01-016p7,2025-12-22,1303.11,tcgplayer
OP01-016p7,2025-12-29,1183.66,tcgplayer
OP01-016p7,2026-01-05,1364.49,tcgplayer
OP01-016p7,2026-01-12,1538.49,tcgplayer
OP01-016p7,2026-01-19,1538.49,tcgplayer
OP01-016p7,2026-01-26,1640.51,tcgplayer
OP01-016p7,2026-02-02,1722.71,tcgplayer
OP01-016p7,2026-02-09,1722.71,tcgplayer
OP01-016p7,2026-02-16,1682.71,tcgplayer
OP01-016p7,2026-02-23,1682.71,tcgplayer
OP01-016p7,2026-03-02,1682.71,tcgplayer
OP01-016p7,2026-03-09,1730.71,tcgplayer
OP01-016p7,2026-03-16,1730.71,tcgplayer
OP01-016p7,2026-03-23,1730.71,tcgplayer
OP01-016p7,2026-03-30,1749.70,tcgplayer
OP01-016p7,2026-04-06,1730.12,tcgplayer
OP01-016p7,2026-04-13,1819.31,tcgplayer
OP01-016p7,2026-04-20,1833.63,tcgplayer
OP01-016p7,2026-04-27,1965.68,tcgplayer
OP01-016p7,2026-05-04,1965.68,tcgplayer
OP01-016p7,2026-05-11,1965.68,tcgplayer
OP01-016p7,2026-05-18,1965.68,tcgplayer
OP01-016p7,2026-05-25,1965.68,tcgplayer
OP01-016p7,2026-06-01,2081.09,tcgplayer
OP01-016p7,2026-06-08,2146.82,tcgplayer
OP01-016p7,2026-06-15,2190.38,tcgplayer
