card_number,as_of,market_usd
PRB02-001,2026-09-05,10.60
PRB02-001p1,2026-09-05,37.33
PRB02-002,2026-09-05,1.67
PRB02-002p1,2026-09-05,21.06
PRB02-003,2026-09-05,4.70
PRB02-003p1,2026-09-05,11.34
PRB02-004,2026-09-05,0.89
PRB02-004p1,2026-09-05,10.76
PRB02-005,2026-09-05,1.92
PRB02-005p1,2026-09-05,21.09
PRB02-006,2026-09-05,5.07
PRB02-006p1,2026-09-05,33.53
PRB02-007,2026-09-05,0.31
PRB02-007p1,2026-09-05,4.70
PRB02-008,2026-09-05,4.37
PRB02-008p1,2026-09-05,83.77
PRB02-009,2026-09-05,0.61
PRB02-009p1,2026-09-05,7.85
PRB02-010,2026-09-05,12.52
PRB02-010p1,2026-09-05,55.90
PRB02-011,2026-09-05,0.46
PRB02-011p1,2026-09-05,6.81
PRB02-012,2026-09-05,2.76
PRB02-012p1,2026-09-05,37.41
PRB02-013,2026-09-05,2.07
PRB02-013p1,2026-09-05,12.65
PRB02-014,2026-09-05,5.45
PRB02-014p1,2026-09-05,16.03
PRB02-015,2026-09-05,2.04
PRB02-015p1,2026-09-05,6.02
PRB02-016,2026-09-05,2.09
PRB02-016p1,2026-09-05,10.55
PRB02-017,2026-09-05,3.34
PRB02-017p1,2026-09-05,76.96
PRB02-018,2026-09-05,0.50
PRB02-018p1,2026-09-05,9.20
EB01-009,2026-09-05,0.14
EB01-009p1,2026-09-05,0.24
EB01-012,2026-09-05,3.85
EB01-015,2026-09-05,0.68
EB01-015p4,2026-09-05,6.00
EB01-018,2026-09-05,0.09
EB01-018p1,2026-09-05,0.12
EB01-038,2026-09-05,0.13
EB01-038p1,2026-09-05,0.17
EB01-046,2026-09-05,1.26
EB01-048,2026-09-05,5.74
EB01-051,2026-09-05,0.67
EB01-051p1,2026-09-05,8.45
EB01-057,2026-09-05,0.52
EB01-060,2026-09-05,0.07
EB01-060p1,2026-09-05,0.16
EB01-061,2026-09-05,19.06
EB02-061,2026-09-05,11.87
EB02-061p3,2026-09-05,478.59
OP01-039,2026-09-05,0.23
OP01-039p3,2026-09-05,0.22
OP01-055,2026-09-05,2.11
OP01-055p1,2026-09-05,3.37
OP02-005,2026-09-05,0.15
OP02-005p2,2026-09-05,0.18
OP02-068,2026-09-05,0.53
OP02-068p1,2026-09-05,56.42
OP03-008,2026-09-05,0.15
OP03-008p2,2026-09-05,0.32
OP03-044,2026-09-05,0.43
OP03-048,2026-09-05,0.24
OP03-048p1,2026-09-05,0.36
OP03-072,2026-09-05,0.47
OP03-072p1,2026-09-05,16.35
OP03-097,2026-09-05,0.22
OP04-016,2026-09-05,0.98
OP04-016p1,2026-09-05,46.60
OP04-077,2026-09-05,0.06
OP04-077p1,2026-09-05,0.09
OP04-083,2026-09-05,0.76
