set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of,variant
ST-29,Egghead,ST29-001,Monkey.D.Luffy,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-001_EN.webp,2.07,2026-09-05,
ST-29,Egghead,ST29-001p1,Monkey.D.Luffy,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-001_p1_EN.webp,26.04,2026-09-05,Parallel
ST-29,Egghead,ST29-002,Usopp,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-002_EN.webp,0.12,2026-09-05,
ST-29,Egghead,ST29-002p1,Usopp,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-002_p1_EN.webp,2.36,2026-09-05,Full Art
ST-29,Egghead,ST29-003,Kaku,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-003_EN.webp,0.07,2026-09-05,
ST-29,Egghead,ST29-003p1,Kaku,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-003_p1_EN.webp,0.74,2026-09-05,Full Art
ST-29,Egghead,ST29-004,Sanji,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-004_EN.webp,0.90,2026-09-05,
ST-29,Egghead,ST29-004p1,Sanji,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-004_p1_EN.webp,5.34,2026-09-05,Full Art
ST-29,Egghead,ST29-005,Jinbe,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-005_EN.webp,0.28,2026-09-05,
ST-29,Egghead,ST29-005p1,Jinbe,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-005_p1_EN.webp,2.22,2026-09-05,Full Art
ST-29,Egghead,ST29-006,Stussy,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-006_EN.webp,0.11,2026-09-05,
ST-29,Egghead,ST29-006p1,Stussy,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-006_p1_EN.webp,1.99,2026-09-05,Full Art
ST-29,Egghead,ST29-007,Tony Tony.Chopper,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-007_EN.webp,0.20,2026-09-05,
ST-29,Egghead,ST29-007p1,Tony Tony.Chopper,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-007_p1_EN.webp,13.11,2026-09-05,Full Art
ST-29,Egghead,ST29-008,Nami,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-008_EN.webp,0.27,2026-09-05,
ST-29,Egghead,ST29-008p1,Nami,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-008_p1_EN.webp,24.14,2026-09-05,Full Art
ST-29,Egghead,ST29-009,Nico Robin,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-009_EN.webp,2.03,2026-09-05,
ST-29,Egghead,ST29-009p1,Nico Robin,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-009_p1_EN.webp,21.88,2026-09-05,Full Art
ST-29,Egghead,ST29-010,Franky,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-010_EN.webp,0.14,2026-09-05,
ST-29,Egghead,ST29-010p1,Franky,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-010_p1_EN.webp,1.42,2026-09-05,Full Art
ST-29,Egghead,ST29-011,Brook,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/ST29/ST29-011_EN.webp,0.12,2026-09-05,
