card_number,set_code,tcgplayer_product_id
EB01-001,EB-01,544523
EB01-001p1,EB-01,544524
EB01-002,EB-01,544525
EB01-003,EB-01,544526
EB01-003p1,EB-01,544527
EB01-004,EB-01,544528
EB01-005,EB-01,544529
EB01-006,EB-01,544530
EB01-006p1,EB-01,544531
EB01-006p2,EB-01,544532
EB01-007,EB-01,544533
EB01-008,EB-01,544534
EB01-009,EB-01,544535
EB01-010,EB-01,544536
EB01-011,EB-01,544537
EB01-012,EB-01,544538
EB01-012p1,EB-01,544539
EB01-013,EB-01,544540
EB01-013p1,EB-01,544541
EB01-014,EB-01,544542
EB01-015,EB-01,544543
EB01-016,EB-01,544544
EB01-017,EB-01,544545
EB01-018,EB-01,544546
EB01-019,EB-01,544547
EB01-020,EB-01,544548
EB01-021,EB-01,544549
EB01-021p1,EB-01,544550
EB01-022,EB-01,544551
EB01-022p1,EB-01,544552
EB01-023,EB-01,544553
EB01-024,EB-01,544554
EB01-025,EB-01,544555
EB01-026,EB-01,544556
EB01-027,EB-01,544557
EB01-027p1,EB-01,544558
EB01-028,EB-01,544559
EB01-029,EB-01,544560
EB01-030,EB-01,544561
EB01-031,EB-01,544562
EB01-031p1,EB-01,544563
EB01-032,EB-01,544564
EB01-033,EB-01,544565
EB01-034,EB-01,544566
EB01-034p1,EB-01,544567
EB01-035,EB-01,544568
EB01-036,EB-01,544569
EB01-037,EB-01,544570
EB01-038,EB-01,544571
EB01-039,EB-01,544572
EB01-040,EB-01,544573
EB01-040p1,EB-01,544574
EB01-041,EB-01,544575
EB01-042,EB-01,544576
EB01-043,EB-01,544577
EB01-044,EB-01,544578
EB01-045,EB-01,544579
EB01-046,EB-01,544580
EB01-046p1,EB-01,544581
EB01-047,EB-01,544582
EB01-048,EB-01,544583
EB01-048p1,EB-01,544584
EB01-049,EB-01,544585
EB01-049p1,EB-01,544586
EB01-050,EB-01,544587
EB01-051,EB-01,544588
EB01-052,EB-01,544589
EB01-052p1,EB-01,544590
EB01-053,EB-01,544591
EB01-054,EB-01,544592
EB01-055,EB-01,544593
EB01-056,EB-01,544594
EB01-056p1,EB-01,544595
EB01-057,EB-01,544596
EB01-057p1,EB-01,544597
EB01-058,EB-01,544598
EB01-059,EB-01,544599
EB01-060,EB-01,544600
EB01-061,EB-01,544601
EB01-061p1,EB-01,544602
EB02-001,EB-02,629089
EB02-002,EB-02,629090
EB02-003,EB-02,629091
EB02-003p1,EB-02,629092
EB02-004,EB-02,629093
EB02-005,EB-02,629094
EB02-006,EB-02,629095
EB02-006p1,EB-02,629096
EB02-007,EB-02,629097
EB02-008,EB-02,629098
EB02-009,EB-02,629099
EB02-010,EB-02,629100
EB02-010p1,EB-02,629101
EB02-011,EB-02,629102
EB02-011p1,EB-02,629103
EB02-012,EB-02,629104
EB02-013,EB-02,629105
EB02-014,EB-02,629106
EB02-015,EB-02,629107
EB02-015p1,EB-02,629108
EB02-016,EB-02,629109
EB02-017,EB-02,629110
EB02-017p1,EB-02,629111
EB02-018,EB-02,629112
EB02-019,EB-02,629113
EB02-020,EB-02,629114
EB02-021,EB-02,629115
EB02-022,EB-02,629116
EB02-022p1,EB-02,629117
EB02-023,EB-02,629118
EB02-024,EB-02,629119
EB02-025,EB-02,629120
EB02-026,EB-02,629121
EB02-026p1,EB-02,629122
EB02-027,EB-02,629123
EB02-028,EB-02,629124
EB02-029,EB-02,629125
EB02-030,EB-02,629126
EB02-031,EB-02,629127
EB02-032,EB-02,629128
EB02-033,EB-02,629129
EB02-034,EB-02,629130
EB02-035,EB-02,629131
EB02-035p1,EB-02,629132
EB02-036,EB-02,629133
EB02-036p1,EB-02,629134
EB02-037,EB-02,629135
EB02-038,EB-02,629136
EB02-039,EB-02,629137
EB02-040,EB-02,629138
EB02-041,EB-02,629139
EB02-042,EB-02,629140
EB02-043,EB-02,629141
EB02-044,EB-02,629142
EB02-044p1,EB-02,629143
EB02-045,EB-02,629144
EB02-045p1,EB-02,629145
EB02-046,EB-02,629146
EB02-047,EB-02,629147
EB02-048,EB-02,629148
EB02-048p1,EB-02,629149
EB02-049,EB-02,629150
EB02-050,EB-02,629151
EB02-051,EB-02,629152
EB02-052,EB-02,629153
EB02-052p1,EB-02,629154
EB02-053,EB-02,629155
EB02-054,EB-02,629156
EB02-054p1,EB-02,629157
EB02-055,EB-02,629158
EB02-056,EB-02,629159
EB02-056p1,EB-02,629160
EB02-057,EB-02,629161
EB02-058,EB-02,629162
EB02-059,EB-02,629163
EB02-060,EB-02,629164
EB02-061,EB-02,629165
EB02-061p1,EB-02,629166
EB02-061p2,EB-02,629167
EB03-001,EB-03,672739
EB03-001p1,EB-03,672740
EB03-002,EB-03,672741
EB03-003,EB-03,672742
EB03-003p1,EB-03,672743
EB03-003p2,EB-03,672820
EB03-004,EB-03,672744
EB03-005,EB-03,672745
EB03-006,EB-03,672746
EB03-007,EB-03,672747
EB03-008,EB-03,672748
EB03-008p1,EB-03,672749
EB03-009,EB-03,672750
EB03-010,EB-03,672751
EB03-011,EB-03,672752
EB03-012,EB-03,672753
EB03-013,EB-03,672754
EB03-013p1,EB-03,672755
EB03-014,EB-03,672756
EB03-015,EB-03,672757
EB03-016,EB-03,672758
EB03-017,EB-03,672759
EB03-018,EB-03,672760
EB03-018p1,EB-03,672761
EB03-018p2,EB-03,672821
EB03-019,EB-03,672762
EB03-020,EB-03,672763
EB03-021,EB-03,672764
EB03-022,EB-03,672765
EB03-023,EB-03,672766
EB03-024,EB-03,672767
EB03-024p1,EB-03,672768
EB03-024p2,EB-03,672822
EB03-025,EB-03,672769
EB03-025p1,EB-03,672770
EB03-026,EB-03,672771
EB03-026p1,EB-03,672772
EB03-026p2,EB-03,672823
EB03-027,EB-03,672773
EB03-028,EB-03,672774
EB03-029,EB-03,672775
EB03-030,EB-03,672776
EB03-031,EB-03,672777
EB03-031p1,EB-03,672778
EB03-031p2,EB-03,672824
EB03-032,EB-03,672779
EB03-033,EB-03,672780
EB03-034,EB-03,672781
EB03-034p1,EB-03,672782
EB03-035,EB-03,672783
EB03-036,EB-03,672784
EB03-037,EB-03,672785
EB03-038,EB-03,672786
